title,job_type,city,code,hc,max_salary,min_salary
服务端(高级)研发工程师 - 运维平台,基础架构,北京,JVMNV,5,50,25
异构计算工程师,基础架构,杭州,JADSP,3,40,25
Kubernetes 技术专家（云原生）,基础架构,上海,J4FML,2,60,30
系统测试与质量工程师,基础架构,上海,7ESP,3,40,25
关系型数据库产品开发工程师,基础架构,北京,FQ7P,5,50,25
SRE工程师-边缘计算,基础架构,北京,V61V,6,50,25
云原生数据库MySQL内核开发工程师,基础架构,北京,TXPV,8,60,30
云原生高级研发工程师/技术专家 - 轻量级虚拟化方向,基础架构,杭州,661,5,60,25
分布式数据库存储引擎开发工程师 ,基础架构,深圳,JSCPV,5,60,30
分布式事务研发工程师,基础架构,深圳,GUSL,5,60,30
系统软件/软硬一体化专家,基础架构,北京,8QUW1,5,60,30
HTAP数据库存储引擎架构师,基础架构,杭州,JS6WV,5,60,30
火山引擎云原生大数据研发工程师/架构师,基础架构,杭州,JPWVV,10,50,25
高级研发工程师 - CloudIDE - 基础架构方向,基础架构,北京,JEG7V,3,60,30
高级研发工程师 - 效能体系 - Serverless方向,基础架构,杭州,NKFL,5,60,30
iOS高级开发工程师 - APM方向,基础架构,北京,DPU2,5,50,25
微服务架构研发工程师,基础架构,上海,JA95V,3,60,30
SOC前端设计（RISC-V）,基础架构,深圳,JVMUV,2,50,25
视频架构SRE(高级)工程师,基础架构,北京,J47UP,5,50,25
实时引擎c++研发工程师/架构师/研发leader,基础架构,杭州,561V,5,60,20
数据库云原生管控面研发工程师,基础架构,成都,NAPL,10,50,25
SOC验证（ARM/RISC-V）,基础架构,深圳,2EV,2,50,25
数据库云原生管控面研发工程师,基础架构,深圳,G4PL,10,50,25
云计算大数据产品SRE工程师,基础架构,深圳,JF93V,10,50,20
云游戏网络平台开发工程师,基础架构,上海,H6682,3,40,25
分布式图数据库研发工程师,基础架构,杭州,H6422,5,60,30
虚拟网络控制面研发工程师,基础架构,北京,D0269,5,50,30
虚拟网络控制面研发工程师,基础架构,杭州,D5928,5,50,30
网络系统研发工程师,基础架构,杭州,Y4906,2,40,25
资深研发工程师 - CloudIDE,基础架构,杭州,9VAL,5,60,30
云原生高级研发工程师 - 镜像和数据分发方向,基础架构,杭州,V58V,5,60,30
系统分析（服务器）,基础架构,上海,JKRMP,2,50,25
NewSQL研发工程师,基础架构,北京,RXQ1,8,60,30
系统开发工程师— 移动中台,基础架构,杭州,JYLP,10,60,30
Nginx研发工程师,基础架构,北京,REQJ1,5,40,20
APM平台开发工程师,基础架构,上海,JFJP,20,50,25
DNS研发工程师,基础架构,北京,8SKF1,3,40,25
DNS研发工程师,基础架构,北京,JEQJ1,5,40,20
Nginx(高级)研发工程师,基础架构,深圳,R3DJ1,3,50,20
服务端(高级)研发工程师 - 智能处理开发平台,基础架构,杭州,J2LP2,5,50,25
基础库研发工程师,基础架构,上海,JL3P,3,40,25
基础架构（高级）研发工程师-CDN,基础架构,深圳,8SDJ1,3,50,20
PC高级开发工程师 - APM方向,基础架构,北京,8JE31,5,40,20
高级网络优化工程师,基础架构,深圳,UE31,10,54,28
AI Lab语音系统工程师,基础架构,北京,4DV1,5,40,20
SRE(高级)平台研发工程师,基础架构,深圳,HDJ1,3,40,20
弱网对抗工程师/专家-飞书,基础架构,上海,R1XR1,5,50,25
大数据架构高级工程师,基础架构,上海,RTSV1,3,70,35
微服务架构研发工程师,基础架构,北京,JNXQ1,3,60,30
网络接入(高级)研发工程师,基础架构,北京,SQJ1,5,60,30
弱网对抗工程师/专家-飞书视频会议,基础架构,上海,GD51,5,50,25
SRE运维研发工程师,基础架构,深圳,NTJP,5,40,20
云解析DNS研发工程师,基础架构,北京,J8SJ1,5,40,20
网络研发工程师 - 网络管理方向,基础架构,深圳,5BY1,10,60,20
DNS(高级)研发工程师,基础架构,深圳,JDXJ1,3,50,20
SRE工程师/专家 — 音视频,基础架构,上海,RUXM1,2,50,25
中间件测试开发工程师,基础架构,杭州,J3832,5,40,20
网络虚拟化资深研发工程师,基础架构,上海,JJW61,4,44,28
对象存储研发工程师,基础架构,深圳,8VFQ1,10,70,35
服务端(高级)研发工程师,基础架构,深圳,RRDJ1,3,50,20
